bess_storage,height,net_production,utilised_production,coverage_pct,gross_production,net_p_ratio,average_hws,capacity_pct,years,utilised_production_per_year,net_production_per_year
0,100,639.523075293208,624.1179297767798,0.3537099755289713,695.5641939531408,0.3624406230294925,5.56901069968788,3.0397895053483535e-07,24.0,26.004913740699156,26.646794803883665
40000,100,639.5232408220296,635.6889899520647,0.3602677095984093,695.5641939531408,0.362440716840602,5.56901069968788,3.0397902921421286e-07,24.0,26.487041248002697,26.6468017009179
80000,100,639.5785512919264,638.1352914909194,0.36165411626317895,695.5641939531408,0.36247206326412273,5.56901069968788,3.040053194596197e-07,24.0,26.58897047878831,26.649106303830266
120000,100,639.5750144619649,639.0235506514542,0.3621575245309859,695.5641939531408,0.3624700588159576,5.56901069968788,3.040036383289437e-07,24.0,26.625981277143925,26.648958935915203
160000,100,639.5676862683409,639.3848559021,0.36236228915200885,695.5641939531408,0.3624659056662663,5.56901069968788,3.0400015508229756e-07,24.0,26.641035662587498,26.648653594514204
200000,100,639.5972375931892,639.5811346632127,0.3624735273531207,695.5641939531408,0.362482653460057,5.56901069968788,3.040142014569498e-07,24.0,26.649213944300527,26.649884899716216
240000,100,639.5415601567075,639.5278001906397,0.3624433007980282,695.5641939531408,0.36245109906343437,5.56901069968788,3.039877367845024e-07,24.0,26.64699167460999,26.64756500652948
280000,100,639.4868076868112,639.4729530041948,0.36241221693382614,695.5641939531408,0.3624200688784914,5.56901069968788,3.0396171176839075e-07,24.0,26.64470637517478,26.64528365361713
320000,100,639.54480446071,639.53087856094,0.36244504542068945,695.5641939531408,0.3624529377266654,5.56901069968788,3.0398927887135427e-07,24.0,26.647119940039165,26.647700185862917
360000,100,639.5114931574769,639.4975842443795,0.3624261763394886,695.5641939531408,0.36243405901850906,5.56901069968788,3.0397344529882353e-07,24.0,26.645732676849146,26.646312214894873
400000,100,639.5617170742694,639.5479005879329,0.3624546924128104,695.5641939531408,0.36246252271027635,5.56901069968788,3.039973177971088e-07,24.0,26.64782919116387,26.648404878094556
