bess_storage,height,net_production,utilised_production,coverage_pct,gross_production,net_p_ratio,average_hws,capacity_pct,years,utilised_production_per_year,net_production_per_year
0,100,52.20572981257252,52.20572981257252,0.010579954971743783,56.78863543527318,0.010579954971743783,4.186222415367343,1.5114221388205405e-07,5.6290212183436,9.2743885282306,9.2743885282306
40000,100,52.22102746146504,52.22102746146504,0.010583055176204816,56.78863543527318,0.010583055176204816,4.186222415367343,1.5118650251721164e-07,5.6290212183436,9.277106167461142,9.277106167461142
80000,100,52.210948055898626,52.210948055898626,0.010581012495115644,56.78863543527318,0.010581012495115644,4.186222415367343,1.511573213587949e-07,5.6290212183436,9.275315553218373,9.275315553218373
120000,100,52.21895820113793,52.21895820113793,0.010582635822215048,56.78863543527318,0.010582635822215048,4.186222415367343,1.5118051174592925e-07,5.6290212183436,9.276738561753712,9.276738561753712
160000,100,52.21791219852735,52.21791219852735,0.010582423840492735,56.78863543527318,0.010582423840492735,4.186222415367343,1.511774834356105e-07,5.6290212183436,9.276552738575932,9.276552738575932
200000,100,52.20563531348655,52.20563531348655,0.01057993582066443,56.78863543527318,0.01057993582066443,4.186222415367343,1.511419402952061e-07,5.6290212183436,9.274371740394438,9.274371740394438
240000,100,52.21859588325447,52.21859588325447,0.01058256239527693,56.78863543527318,0.01058256239527693,4.186222415367343,1.511794627896704e-07,5.6290212183436,9.276674195699755,9.276674195699755
280000,100,52.22735140185116,52.22735140185116,0.010584336778909525,56.78863543527318,0.010584336778909525,4.186222415367343,1.5120481112727892e-07,5.6290212183436,9.27822962039209,9.27822962039209
320000,100,52.22734337388269,52.22734337388269,0.01058433515197039,56.78863543527318,0.01058433515197039,4.186222415367343,1.5120478788529129e-07,5.6290212183436,9.278228194217244,9.278228194217244
360000,100,52.21914869601476,52.21914869601476,0.010582674427694302,56.78863543527318,0.010582674427694302,4.186222415367343,1.5118106325277573e-07,5.6290212183436,9.276772403316826,9.276772403316826
400000,100,52.21830516156821,52.21830516156821,0.010582503477944271,56.78863543527318,0.010582503477944271,4.186222415367343,1.5117862111348959e-07,5.6290212183436,9.276622548765948,9.276622548765948
